Accuracy,Macro F1,Binary F1,ROC-AUC,Dataset,Condition,Model
0.76,0.7589285714285714,0.7428571428571429,0.762987012987013,oasis_data,Raw,Decision Tree
0.8666666666666667,0.8625366568914956,0.8387096774193549,0.9314574314574314,oasis_data,Raw,Random Forest
0.8533333333333334,0.8463401005773887,0.8135593220338984,0.8528138528138527,oasis_data,Raw,KNN
0.76,0.7578909612625538,0.7352941176470589,0.8261183261183261,oasis_data,Raw,Logistic Regression
0.5733333333333334,0.5290423861852434,0.38461538461538464,0.5620490620490621,oasis_data,Raw,ANN (MLP)
0.6933333333333334,0.6852764094143404,0.6349206349206349,0.6839826839826839,oasis_data,SMOTE,Decision Tree
0.84,0.8364825581395349,0.8125,0.9256854256854257,oasis_data,SMOTE,Random Forest
0.84,0.8350439882697946,0.8064516129032258,0.8513708513708513,oasis_data,SMOTE,KNN
0.76,0.7589285714285714,0.7428571428571429,0.8253968253968254,oasis_data,SMOTE,Logistic Regression
0.7066666666666667,0.6975806451612903,0.6451612903225806,0.8001443001443002,oasis_data,SMOTE,ANN (MLP)
